Champion,Role,Win Percent,Play Percent,Ban Rate,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Gold Earned
Ezreal,ADC,0.4952913008778931,0.15895131878006236,0.031033352714202652,6.765203511572227,5.266640063846768,7.515562649640862,10,22941,17961,2648,177.937110933759,11875
Lee Sin,Jungle,0.46782536726670804,0.12261958877319097,0.016842327818595064,6.210738671632527,5.416718394372026,7.679184771363542,8,12270,25711,7389,25.684460997310158,10199
Thresh,Support,0.4890285470813805,0.11909297531582007,0.012806173687827053,1.9657008947592671,5.581487004686834,12.631870472944184,5,6900,16274,1797,31.865360034086066,7371
Kai'Sa,ADC,0.4912351130737321,0.0947999365717004,0.0019282203076272531,7.4319550381372945,5.633346714840091,6.88438378161381,9,19746,18665,3893,186.21945671082563,12352
Lulu,Support,0.5147177963813124,0.09394999735715417,0.020948253078915378,1.495544153389144,4.579935187685661,13.258304077774778,3,5255,11887,1946,23.955846610856064,7290
Ashe,ADC,0.5240972126870795,0.09238966118716634,0.005154606480257942,5.908691473293972,5.825621309899766,9.36619524921049,9,18636,17757,2472,174.66469861320886,11673
Senna,Support,0.5013286093888397,0.08593266028859876,0.016296844442095247,3.085326247416593,5.134189548272808,12.176409802184825,5,12930,17063,9519,24.6358134041925,8297
Kha'Zix,Jungle,0.5299919159256266,0.07846080659654316,0.006511972091548179,8.270169765561842,5.248504446240905,5.498949070331447,8,17035,28098,13625,26.904284559417945,11102
Kayn,Jungle,0.5135754007196598,0.07756012474232253,0.015347534224853321,7.1727183513248285,5.891560353287537,7.0060516846581615,8,16387,30558,14105,35.376349362119726,11058
Graves,Jungle,0.49883527454242926,0.07624081611078809,0.025889317617210212,5.833444259567388,4.913976705490849,7.099833610648918,7,15601,21703,7750,46.035108153078205,11049
Caitlyn,ADC,0.513477314582287,0.07577144669379988,0.008201279137375126,6.473798761091579,5.563368491545287,7.330654612422569,7,20253,17430,3128,180.9405658797924,12086
Aphelios,ADC,0.48103932584269665,0.07225751889634759,0.03194460595168878,6.35375702247191,6.204705056179775,6.995962078651686,8,20189,17369,2750,184.09568117977528,11919
Ekko,Jungle,0.5057241504633836,0.06980918653205771,0.02586183202071991,7.094312193349082,5.193712520443395,7.059785571506451,8,16523,29495,13851,39.07795747773942,10721
Zed,Middle,0.5110849519325094,0.06465880860510598,0.033699455573761826,9.082597606435158,6.188346085932902,5.7318030213851285,10,22675,20663,3119,167.59309397684913,12183
Jhin,ADC,0.5159574468085106,0.06439240974681537,0.0016533643427242455,7.067769897557132,5.43321513002364,8.685185185185185,8,20137,17887,3742,177.93695823483057,12148
Karma,Support,0.4900098911968348,0.06412601088852476,0.0029621015909931814,2.037190900098912,5.053808110781405,11.500890207715134,5,9790,12863,2882,27.52700296735905,7429
Vayne,ADC,0.5052125100240578,0.06327607167397854,0.010858924890321899,7.4031676022453885,6.17822774659182,6.036287089013633,8,18969,19885,3491,168.87550120288694,11958
Nautilus,Support,0.5027377813830866,0.06255298905861832,0.020656482900787566,2.098762928412087,5.76860677347394,11.313323869397689,4,7834,16135,1387,32.890894341918475,7265
Blitzcrank,Support,0.5148334094020995,0.055588561763306725,0.02213647655795761,2.169557279780922,5.507987220447284,11.216111364673665,4,7862,17450,1635,29.882245549977178,7292
Yuumi,Support,0.4647592463363573,0.0545356519900629,0.03654315767218141,1.60130262851826,3.825540823447313,13.684577808792742,3,7693,7393,12158,7.384508025122122,7051
